datetime (YYYY-MM-DD hh:mm:ss),configuration,outdoor air temperature (C),cell A heating (Wh/sqft),cell A cooling (Wh/sqft),cell B heating (Wh/sqft),cell B cooling (Wh/sqft)
2019-08-28 04:00:00,CorePlus-S,14.493692736111107,,0.07586121891626071,0.04969846558066108,
2019-08-28 05:00:00,CorePlus-S,14.575027027777775,,0.06342420801087369,0.0495786126564226,
2019-08-28 06:00:00,CorePlus-S,14.629280097314838,0.0018110607733414239,0.06055244753109159,0.04940998988586499,
2019-08-28 07:00:00,CorePlus-S,14.760892625,,4.081589568042661,0.017120842858314184,0.1069756703922525
2019-08-28 08:00:00,CorePlus-S,14.631514416666668,0.0012827462024795854,1.2697340085144981,,0.39337819731089013
2019-08-28 09:00:00,CorePlus-S,14.80212918055556,0.000765325587263508,4.010638977233017,,0.5141069407313148
2019-08-28 10:00:00,CorePlus-S,15.609930734722218,,4.502132008767807,,0.5429432754001767
2019-08-28 11:00:00,CorePlus-S,16.293749940555553,,3.266095043427102,0.014271009096697256,0.305971016351683
2019-08-28 12:00:00,CorePlus-S,17.33706367152778,,2.6160277421702562,0.043233214021275335,0.7604636933387295
2019-08-28 13:00:00,CorePlus-S,18.29867439888889,,3.3356766394131236,0.00469896636514577,1.4990974841737428
2019-08-28 14:00:00,CorePlus-S,19.13076578583334,,4.433617396049439,,2.4375161399999
2019-08-28 15:00:00,CorePlus-S,18.50706067486111,,5.218842965592609,0.0038953578404811026,2.0519417885362468
2019-08-28 16:00:00,CorePlus-S,18.12842895027778,,4.430459097040096,0.008713712114399043,2.247771246586944
2019-08-28 17:00:00,CorePlus-S,18.00410749055555,,3.5138862922571525,,2.0627444945831184
2019-08-28 18:00:00,CorePlus-S,17.468290255972224,,3.5298446649944077,,0.9869597379992492
2019-08-28 19:00:00,CorePlus-S,16.73219936583333,,0.7049797230297351,0.01985382570027778,0.02009153844335527
2019-08-28 20:00:00,CorePlus-S,16.48124678527778,,0.48775124770926453,0.05100296375583333,0.02201555235493991
2019-08-28 21:00:00,CorePlus-S,16.284194529999997,,0.3973098688281432,0.006201602586666666,0.04759847970037853
2019-08-28 22:00:00,CorePlus-S,16.29653296861111,,0.33080510887564524,,0.038169893150033725
2019-08-28 23:00:00,CorePlus-S,16.436705131070013,,0.26812505113177587,,0.03455625103384738
2019-08-30 00:00:00,CorePlus-S,15.603180763888888,,,,
2019-08-30 01:00:00,CorePlus-S,15.585371499999999,,,,
2019-08-30 02:00:00,CorePlus-S,15.497209305555552,,,,
2019-08-30 03:00:00,CorePlus-S,15.503683611111109,,,,
2019-08-30 04:00:00,CorePlus-S,15.436438625,,,,
2019-08-30 05:00:00,CorePlus-S,15.354282402777779,,,,
2019-08-30 06:00:00,CorePlus-S,15.232897374999999,,,,
2019-08-30 07:00:00,CorePlus-S,15.370057055555552,,,,
2019-08-30 08:00:00,CorePlus-S,16.566667318061,,,,
2019-08-30 09:00:00,CorePlus-S,17.888100029305555,,,,
2019-08-30 10:00:00,CorePlus-S,18.591289461666673,,,,
2019-08-30 11:00:00,CorePlus-S,18.921023692361114,,,,
2019-08-30 12:00:00,CorePlus-S,19.889995870138893,,,,
2019-08-30 13:00:00,CorePlus-S,20.57120948652778,,,,
2019-08-30 14:00:00,CorePlus-S,20.670455347777775,,,,
2019-08-30 15:00:00,CorePlus-S,20.432245928055554,,,,
2019-08-30 16:00:00,CorePlus-S,19.760122461666665,,,,
2019-08-30 17:00:00,CorePlus-S,19.3770244,,,,
2019-08-30 18:00:00,CorePlus-S,19.486624055138893,,,,
2019-08-30 19:00:00,CorePlus-S,19.225223857499998,,,,
2019-08-30 20:00:00,CorePlus-S,17.565733809444442,,,,
2019-08-30 21:00:00,CorePlus-S,17.28124811263889,,,,
2019-08-30 22:00:00,CorePlus-S,16.705776218333334,,,,
2019-08-30 23:00:00,CorePlus-S,16.3302069225,,,,
2019-08-31 00:00:00,CorePlus-S,16.34372037319444,,,,
2019-08-31 01:00:00,CorePlus-S,15.47318784781267,,,,
2019-08-31 02:00:00,CorePlus-S,15.494926083333333,,,,
2019-08-31 03:00:00,CorePlus-S,16.76866838388889,,,,
2019-08-31 04:00:00,CorePlus-S,16.154199070277777,,,,
2019-08-31 05:00:00,CorePlus-S,14.88775904166667,,,,
2019-08-31 06:00:00,CorePlus-S,14.699401902777778,,,,
2019-08-31 07:00:00,CorePlus-S,14.916045611111112,,,,
2019-08-31 08:00:00,CorePlus-S,16.47613263,,,,
2019-08-31 09:00:00,CorePlus-S,18.854850306388887,,,,
2019-08-31 10:00:00,CorePlus-S,20.947927558194447,,,,
2019-08-31 11:00:00,CorePlus-S,22.194931245,,,,
2019-08-31 12:00:00,CorePlus-S,24.090940643472223,,,,
2019-08-31 13:00:00,CorePlus-S,25.20396096763889,,,,
2019-08-31 14:00:00,CorePlus-S,25.452763532222225,,,,
