datetime (YYYY-MM-DD hh:mm:ss),configuration,outdoor air temperature (C),cell A boiler (Wh/sqft),cell B boiler (Wh/sqft),cell A chiller (Wh/sqft),cell B chiller (Wh/sqft),cell A ahu fan (Wh/sqft),cell B ahu fan (Wh/sqft),cell A hw pump (Wh/sqft),cell B hw pump (Wh/sqft),cell A hvac energy (Wh/sqft),cell B hvac energy (Wh/sqft)
2019-10-23 22:00:00,CorePlus-S,24.719135575972224,0.1532258558233584,0.0,0.0,0.0,0.08983989759699075,0.04732933133958333,0.07561637417546296,0.07845418512268519,0.3186821275958121,0.1257835164622685
2019-10-23 23:00:00,CorePlus-S,24.90883042861111,0.15386468335654957,0.0,0.0,0.0,0.09016000795462963,0.04759578553958334,0.07568252493333334,0.07860117136157406,0.31970721624451254,0.1261969569011574
2019-10-24 00:00:00,CorePlus-S,24.367223600000006,0.1535526372605674,0.0,0.0,0.0,0.09024732328287036,0.04767673877083333,0.07568156871226851,0.07851713841180556,0.3194815292557063,0.12619387718263889
2019-10-24 01:00:00,CorePlus-S,24.35816875666666,0.25163329871737433,0.0,0.0,0.0,0.09012877767754629,0.04758763720208333,0.0755135925333333,0.07840970445787038,0.4172756689282539,0.12599734165995372
2019-10-24 02:00:00,CorePlus-S,24.435327180277778,0.3576680144696255,0.0,0.0,0.0,0.0902357616875,0.047680322644444446,0.0755521007113426,0.07846373895324074,0.5234558768684681,0.12614406159768518
2019-10-24 03:00:00,CorePlus-S,23.38536737444445,0.3594286026532136,0.0,0.0,0.0,0.09041023710439816,0.047775577723611115,0.07531562192083334,0.07820908197916668,0.525154461678445,0.12598465970277778
2019-10-24 04:00:00,CorePlus-S,23.486328979444448,0.358151756269736,0.0,0.0,0.0,0.09029666332106483,0.04763695766412037,0.07534218931643517,0.0782026762013889,0.523790608907236,0.12583963386550928
2019-10-24 05:00:00,CorePlus-S,22.873125536944446,0.15473638049853453,0.0,0.613224078058844,0.0,0.10596076946898145,0.047344602014583334,0.07514895640069444,0.07806571047337961,0.9490701844270545,0.12541031248796294
2019-10-24 06:00:00,CorePlus-S,22.405145751388893,0.08804547775394123,0.0,0.44175539520778684,0.7509939521614449,0.09226442022268518,0.1743200869236111,0.0750687855576389,0.07794408114143518,0.6971340787420521,1.0032581202264912
2019-10-24 07:00:00,CorePlus-S,22.330008653749996,0.07203538129634843,1.6595246406111435,0.43221997413207447,0.8714510838002771,0.0907627016747685,0.1741022109939815,0.07489146781643519,0.07802315755717594,0.6699095249196266,2.783101092962578
2019-10-24 08:00:00,CorePlus-S,22.66226948291667,0.0,0.0,0.476114025238209,0.3357229101360948,0.09256896599166665,0.09157594173078705,0.0749390197349537,0.07804267030879627,0.6436220109648294,0.5053415221756781
2019-10-24 09:00:00,CorePlus-S,23.606951044166667,0.0,0.0,0.542004819643624,0.5043128021875265,0.11571445073958334,0.10437746237245372,0.07497870691550926,0.07802834384814814,0.7326979772987166,0.6867186084081284
2019-10-24 10:00:00,CorePlus-S,24.618138351527776,0.0,0.0,0.9059307451911138,0.3753520399258109,0.19073257315254633,0.11035285898912035,0.07498598466805556,0.07810608519722222,1.1716493030117159,0.5638109841121535
2019-10-24 11:00:00,CorePlus-S,25.93028925791667,0.0,0.0,0.811697276603554,0.3385973299792491,0.1555330587884259,0.10298156099537038,0.07512608535833333,0.0781015612090278,1.0423564207503133,0.5196804521836472
2019-10-24 12:00:00,CorePlus-S,27.14692352028168,0.0,0.0,0.879077249036125,0.3957978418918805,0.1728079079689815,0.11403006821712963,0.0752149825925926,0.07812809312476851,1.1271001395976992,0.5879560032337787
2019-10-24 13:00:00,CorePlus-S,28.520380417361114,0.0,0.0,1.0945434530170137,0.6289777393556014,0.25728456629212965,0.1489649321960648,0.07521801979143519,0.07802043397152779,1.4270460391005786,0.855963105523194
2019-10-24 14:00:00,CorePlus-S,29.52002314624999,0.0,0.0,1.0312504441031933,0.9099664382087657,0.24178854349560186,0.18410502519467595,0.07528153436319444,0.07792693811157406,1.3483205219619898,1.1719984015150158
2019-10-24 15:00:00,CorePlus-S,29.645195341250005,0.0,0.0,1.061420773561873,0.9489840601571838,0.25140546857337964,0.1854981304983796,0.07533435946898147,0.07810118868217593,1.388160601604234,1.2125833793377394
2019-10-24 16:00:00,CorePlus-S,29.23574208513889,0.0,0.0,1.0565552917665708,0.8442703887982705,0.2558010898513889,0.1660378718962963,0.07539071727430555,0.07812825082754629,1.3877470988922653,1.088436511522113
2019-10-24 17:00:00,CorePlus-S,28.43334858777778,0.0,0.0,0.8245055912886883,0.6629293200225901,0.20970547950671295,0.14229879498078704,0.07549720498379628,0.07825420445578704,1.1097082757791976,0.8834823194591641
2019-10-24 18:00:00,CorePlus-S,27.03367106388888,0.0,0.0,0.8272172272769089,0.5922921882500712,0.18122374842013889,0.13725388318541668,0.07544218041851852,0.07832053484143518,1.0838831561155664,0.8078666062769231
