datetime (YYYY-MM-DD hh:mm:ss),configuration,cell A lights (Wh/sqft),cell B lights (Wh/sqft)
2019-08-19 14:00:00,Core-W,0.8992281039025464,0.2888371577835649
2019-08-19 15:00:00,Core-W,0.8727808507159932,0.2061925193073022
2019-08-19 16:00:00,Core-W,0.9032771686026397,0.07427236154991265
2019-08-19 17:00:00,Core-W,0.9009632420665692,0.1542942527891082
2019-08-19 18:00:00,Core-W,0.8984380917967661,0.10418571135121452
2019-08-19 19:00:00,Core-W,0.888855579831245,0.005288130624026904
2019-08-19 20:00:00,Core-W,0.017465691674999652,0.0052881622700736
2019-08-19 21:00:00,Core-W,0.017180913116912142,0.005195578824382564
2019-08-19 22:00:00,Core-W,0.017552928851348557,0.005285442098083264
2019-08-19 23:00:00,Core-W,0.01762253196058201,0.005280857354282407
2019-08-20 00:00:00,Core-W,0.01733173365953283,0.0052003502984126985
2019-08-20 01:00:00,Core-W,0.017634028160190867,0.005281652963601545
2019-08-20 02:00:00,Core-W,0.017655318070715766,0.0052942787497101155
2019-08-20 03:00:00,Core-W,0.01765563124188098,0.005293663394468763
2019-08-20 04:00:00,Core-W,0.01764244125773866,0.0052931983617024265
2019-08-20 05:00:00,Core-W,0.021767161328889974,0.005298879086341259
2019-08-20 06:00:00,Core-W,0.9017630608564609,0.005296839510017327
2019-08-20 07:00:00,Core-W,0.8997540493046897,0.025356673508830675
2019-08-20 08:00:00,Core-W,0.8965755459383914,0.23252322098583975
2019-08-20 09:00:00,Core-W,0.9014984089676464,0.3273644918776211
2019-08-20 10:00:00,Core-W,0.8890315873080166,0.27060858776899166
2019-08-20 11:00:00,Core-W,0.9002021811454352,0.2429481649615796
2019-08-20 12:00:00,Core-W,0.8999603232220383,0.1734492346518962
2019-08-20 13:00:00,Core-W,0.8999583111079436,0.2787319663030296
2019-08-20 14:00:00,Core-W,0.898863936885925,0.23758997150707944
2019-08-20 15:00:00,Core-W,0.9029886004822283,0.17579364433870553
2019-08-20 16:00:00,Core-W,0.903392758743651,0.10841699339305357
2019-08-20 17:00:00,Core-W,0.896528501119244,0.13308888569344846
2019-08-20 18:00:00,Core-W,0.8965805217339864,0.07576522009661259
2019-08-20 19:00:00,Core-W,0.8830798174062409,0.005279425460808215
2019-08-20 20:00:00,Core-W,0.017411988458344355,0.0052742621880291
2019-08-20 21:00:00,Core-W,0.017384616242201445,0.005280596357123703
2019-08-20 22:00:00,Core-W,0.01744733235628081,0.005276827258729426
2019-08-20 23:00:00,Core-W,0.01751789664748264,0.00527982052223049
2019-08-23 00:00:00,CorePlus-S,0.017534873710341257,0.0052818351047278335
2019-08-23 01:00:00,CorePlus-S,0.01756664231893601,0.005274707488664228
2019-08-23 02:00:00,CorePlus-S,0.017528221150694447,0.005281211762950394
2019-08-23 03:00:00,CorePlus-S,0.01749220193905975,0.005279004939707225
2019-08-23 04:00:00,CorePlus-S,0.017385894440903733,0.005276018348484979
2019-08-23 05:00:00,CorePlus-S,0.023296653640194686,0.005276285085445264
2019-08-23 06:00:00,CorePlus-S,0.898776829722619,0.005279889690310846
2019-08-23 07:00:00,CorePlus-S,0.8962057278873315,0.05449709455137541
2019-08-23 08:00:00,CorePlus-S,0.8968278168649967,0.2203992834223719
2019-08-23 09:00:00,CorePlus-S,0.9017026190420698,0.25799146171417786
2019-08-23 10:00:00,CorePlus-S,0.890448526096014,0.2142370299332281
2019-08-23 11:00:00,CorePlus-S,0.903852920682809,0.16294166065588225
2019-08-23 12:00:00,CorePlus-S,0.8998584105521491,0.1720159758283896
2019-08-23 13:00:00,CorePlus-S,0.9041935321889715,0.21391258233605323
2019-08-23 14:00:00,CorePlus-S,0.8890631273480489,0.2690021947088128
2019-08-23 15:00:00,CorePlus-S,0.9047769190214411,0.2084052439165668
2019-08-23 16:00:00,CorePlus-S,0.9038557239400565,0.09622938584257076
2019-08-23 17:00:00,CorePlus-S,0.899709328521371,0.005277053962790987
2019-08-23 18:00:00,CorePlus-S,0.900939667407077,0.005279008587569177
2019-08-23 19:00:00,CorePlus-S,0.8917585597083294,0.005288093758760003
2019-08-23 20:00:00,CorePlus-S,0.01740272352426042,0.005283386677252198
2019-08-23 21:00:00,CorePlus-S,0.017366790392890206,0.005289009646955932
2019-08-23 22:00:00,CorePlus-S,0.01744216119688779,0.0052883912142330245
2019-08-23 23:00:00,CorePlus-S,0.017421325599206602,0.005287288513923962
2019-08-26 00:00:00,CorePlus-S,,
2019-08-26 01:00:00,CorePlus-S,,
2019-08-26 02:00:00,CorePlus-S,,
2019-08-26 03:00:00,CorePlus-S,,
2019-08-26 04:00:00,CorePlus-S,,
2019-08-26 05:00:00,CorePlus-S,,
2019-08-26 06:00:00,CorePlus-S,,
2019-08-26 07:00:00,CorePlus-S,,
2019-08-26 08:00:00,CorePlus-S,,
2019-08-26 09:00:00,CorePlus-S,,
2019-08-26 10:00:00,CorePlus-S,,
2019-08-26 11:00:00,CorePlus-S,,
2019-08-26 12:00:00,CorePlus-S,,
2019-08-26 13:00:00,CorePlus-S,,
2019-08-26 14:00:00,CorePlus-S,,
2019-08-26 15:00:00,CorePlus-S,,
2019-08-26 16:00:00,CorePlus-S,,
2019-08-26 17:00:00,CorePlus-S,,
2019-08-26 18:00:00,CorePlus-S,,
2019-08-26 19:00:00,CorePlus-S,,
2019-08-26 20:00:00,CorePlus-S,,
2019-08-26 21:00:00,CorePlus-S,,
2019-08-26 22:00:00,CorePlus-S,,
2019-08-26 23:00:00,CorePlus-S,,
2019-08-27 00:00:00,CorePlus-S,,
2019-08-27 01:00:00,CorePlus-S,,
2019-08-27 02:00:00,CorePlus-S,,
2019-08-27 03:00:00,CorePlus-S,,
2019-08-27 04:00:00,CorePlus-S,,
2019-08-27 05:00:00,CorePlus-S,,
2019-08-27 06:00:00,CorePlus-S,,
2019-08-27 07:00:00,CorePlus-S,,
2019-08-27 08:00:00,CorePlus-S,,
2019-08-27 09:00:00,CorePlus-S,,
2019-08-27 10:00:00,CorePlus-S,,
2019-08-27 11:00:00,CorePlus-S,,
2019-08-27 12:00:00,CorePlus-S,,
2019-08-27 13:00:00,CorePlus-S,,
2019-08-27 14:00:00,CorePlus-S,,
2019-08-27 15:00:00,CorePlus-S,,
2019-08-27 16:00:00,CorePlus-S,,
2019-08-27 17:00:00,CorePlus-S,,
2019-08-27 18:00:00,CorePlus-S,,
2019-08-27 19:00:00,CorePlus-S,,
2019-08-27 20:00:00,CorePlus-S,,
2019-08-27 21:00:00,CorePlus-S,,
2019-08-27 22:00:00,CorePlus-S,,
2019-08-27 23:00:00,CorePlus-S,,
2019-08-28 00:00:00,CorePlus-S,,
2019-08-28 01:00:00,CorePlus-S,,
2019-08-28 02:00:00,CorePlus-S,,
2019-08-28 03:00:00,CorePlus-S,,
2019-08-28 04:00:00,CorePlus-S,,
2019-08-28 05:00:00,CorePlus-S,,
2019-08-28 06:00:00,CorePlus-S,,
2019-08-28 07:00:00,CorePlus-S,,
2019-08-28 08:00:00,CorePlus-S,,
2019-08-28 09:00:00,CorePlus-S,,
2019-08-28 10:00:00,CorePlus-S,,
2019-08-28 11:00:00,CorePlus-S,,
2019-08-28 12:00:00,CorePlus-S,,
2019-08-28 13:00:00,CorePlus-S,,
2019-08-28 14:00:00,CorePlus-S,,
2019-08-28 15:00:00,CorePlus-S,,
2019-08-28 16:00:00,CorePlus-S,,
2019-08-28 17:00:00,CorePlus-S,,
2019-08-28 18:00:00,CorePlus-S,,
2019-08-28 19:00:00,CorePlus-S,,
2019-08-28 20:00:00,CorePlus-S,,
2019-08-28 21:00:00,CorePlus-S,,
2019-08-28 22:00:00,CorePlus-S,,
2019-08-28 23:00:00,CorePlus-S,,
2019-08-30 00:00:00,CorePlus-S,0.01746914930532407,0.0052897812657407405
2019-08-30 01:00:00,CorePlus-S,0.017508059110648146,0.0052920264148148145
2019-08-30 02:00:00,CorePlus-S,0.017490975571296297,0.005291224309953703
2019-08-30 03:00:00,CorePlus-S,0.017461631242592594,0.005292123524537037
2019-08-30 04:00:00,CorePlus-S,0.017452429489351853,0.0052925842826388875
2019-08-30 05:00:00,CorePlus-S,0.026871944502083335,0.005293674207407408
2019-08-30 06:00:00,CorePlus-S,0.8978148145821762,0.00529392041412037
2019-08-30 07:00:00,CorePlus-S,0.8955966086902778,0.02694750231898148
2019-08-30 08:00:00,CorePlus-S,0.8987714918212962,0.11223825383611112
2019-08-30 09:00:00,CorePlus-S,0.8979865248712962,0.26859364232453703
2019-08-30 10:00:00,CorePlus-S,0.901619203183102,0.2253652029002315
2019-08-30 11:00:00,CorePlus-S,0.8984907465032408,0.14013610360902778
2019-08-30 12:00:00,CorePlus-S,0.897229888108102,0.16432171774629634
2019-08-30 13:00:00,CorePlus-S,0.898312966119213,0.2227294677247685
2019-08-30 14:00:00,CorePlus-S,0.8971499991293983,0.2503864907962963
2019-08-30 15:00:00,CorePlus-S,0.8984625544891203,0.27102382751342596
2019-08-30 16:00:00,CorePlus-S,0.8988080353,0.1575012746439815
2019-08-30 17:00:00,CorePlus-S,0.8976217186604167,0.20866086822546295
2019-08-30 18:00:00,CorePlus-S,0.9015864175530092,0.10891973379282407
2019-08-30 19:00:00,CorePlus-S,0.886697558824537,0.005286101146990741
2019-08-30 20:00:00,CorePlus-S,0.0172929907462963,0.0052823194094907405
2019-08-30 21:00:00,CorePlus-S,0.01729963824212963,0.0052771658775462955
2019-08-30 22:00:00,CorePlus-S,0.01302505212199074,0.003965978685185185
2019-08-30 23:00:00,CorePlus-S,0.017423730100231478,0.005284572332638889
2019-08-31 00:00:00,CorePlus-S,0.017490776234027776,0.0052886021013888885
2019-08-31 01:00:00,CorePlus-S,0.017518540927546296,0.005289606799074074
2019-08-31 02:00:00,CorePlus-S,0.01747719451736111,0.005285807224305556
2019-08-31 03:00:00,CorePlus-S,0.01746970984189815,0.005289343271990742
2019-08-31 04:00:00,CorePlus-S,0.0174919573150463,0.005293790234490741
2019-08-31 05:00:00,CorePlus-S,0.027447801539120364,0.005299514623842593
2019-08-31 06:00:00,CorePlus-S,0.897609973586574,0.005296362824074074
2019-08-31 07:00:00,CorePlus-S,0.8946321713756944,0.02692287652685185
2019-08-31 08:00:00,CorePlus-S,0.898811516873148,0.10221005566412036
2019-08-31 09:00:00,CorePlus-S,0.899673823340741,0.2767785513976852
2019-08-31 10:00:00,CorePlus-S,0.9006683529078702,0.2214892321715278
2019-08-31 11:00:00,CorePlus-S,0.8975209986935186,0.1384974732625
2019-08-31 12:00:00,CorePlus-S,0.8982522868289352,0.16390924622847222
2019-08-31 13:00:00,CorePlus-S,0.9027564752173611,0.2229200679701389
2019-08-31 14:00:00,CorePlus-S,0.8974616395824074,0.2463803967759259
2019-08-31 15:00:00,CorePlus-S,0.89724571073125,0.27030726133564814
2019-08-31 16:00:00,CorePlus-S,0.9008229838594907,0.1631111980664352
2019-08-31 17:00:00,CorePlus-S,0.895794757875926,0.22122878861111106
2019-08-31 18:00:00,CorePlus-S,0.9007877312412037,0.10928052358425927
2019-08-31 19:00:00,CorePlus-S,0.8846557816652777,0.005288545270370371
2019-08-31 20:00:00,CorePlus-S,0.017258251615972223,0.005282586508564815
2019-08-31 21:00:00,CorePlus-S,0.017291476228009257,0.005288183650000001
2019-08-31 22:00:00,CorePlus-S,0.017360058805092594,0.005281858277314815
2019-08-31 23:00:00,CorePlus-S,0.017352424608101855,0.005279267319907408
2019-09-01 00:00:00,CorePlus-S,0.017371607397916662,0.005285814492592592
2019-09-01 01:00:00,CorePlus-S,0.017430089721296293,0.005285718105555556
2019-09-01 02:00:00,CorePlus-S,0.017517462594907406,0.005292665170370371
2019-09-01 03:00:00,CorePlus-S,0.01753378865162037,0.00529436330347222
2019-09-01 04:00:00,CorePlus-S,0.01751901849050926,0.005292125921759258
2019-09-01 05:00:00,CorePlus-S,0.02806375609166667,0.0052897462863425926
2019-09-01 06:00:00,CorePlus-S,0.8953932158189816,0.005286560266435186
2019-09-01 07:00:00,CorePlus-S,0.8990570343150464,0.027181863589351853
2019-09-01 08:00:00,CorePlus-S,0.8986049211585647,0.10438143637731481
2019-09-01 09:00:00,CorePlus-S,0.8980406657094907,0.2805278663840278
2019-09-01 10:00:00,CorePlus-S,0.9039619542631944,0.22022500303101855
2019-09-01 11:00:00,CorePlus-S,0.8976807488606481,0.13708725907407407
2019-09-01 12:00:00,CorePlus-S,0.8952706976090278,0.16746330193634262
2019-09-01 13:00:00,CorePlus-S,0.9016193489636576,0.2208497497148148
2019-09-01 14:00:00,CorePlus-S,0.8986429630076389,0.24465128513148146
2019-09-01 15:00:00,CorePlus-S,0.8972740725733797,0.2688241479212963
2019-09-01 16:00:00,CorePlus-S,0.9008994322386574,0.16506307178032406
2019-09-01 17:00:00,CorePlus-S,0.8958596580483796,0.2180983482965278
2019-09-01 18:00:00,CorePlus-S,0.9010258492812498,0.10918925439212962
2019-09-01 19:00:00,CorePlus-S,0.8835745430666667,0.005282148146296297
2019-09-01 20:00:00,CorePlus-S,0.017254981644444438,0.005274381056944444
2019-09-01 21:00:00,CorePlus-S,0.017256339692824075,0.005275323482407408
2019-09-01 22:00:00,CorePlus-S,0.01737696582199074,0.005280884095833335
2019-09-01 23:00:00,CorePlus-S,0.01737811264074074,0.005275163131018518
2019-09-02 00:00:00,CorePlus-S,0.017406074082407408,0.005278906850462964
2019-09-02 01:00:00,CorePlus-S,0.01747540454537037,0.005288679951157406
2019-09-02 02:00:00,CorePlus-S,0.01748081221296296,0.005280685029166666
2019-09-02 03:00:00,CorePlus-S,0.017508940300694446,0.0052882339729166655
2019-09-02 04:00:00,CorePlus-S,0.01750490916180555,0.005295053152777778
2019-09-02 05:00:00,CorePlus-S,0.02840740477291667,0.005287733049305555
2019-09-02 06:00:00,CorePlus-S,0.8991805610576389,0.0052879193053240745
2019-09-02 07:00:00,CorePlus-S,0.8968137200837966,0.02703261019583333
2019-09-02 08:00:00,CorePlus-S,0.8970258064293983,0.1025077815238426
2019-09-02 09:00:00,CorePlus-S,0.899512959987037,0.282280268086574
2019-09-02 10:00:00,CorePlus-S,0.9003144253159723,0.21840362949930553
2019-09-02 11:00:00,CorePlus-S,0.8963273560196758,0.13468658941064815
2019-09-02 12:00:00,CorePlus-S,0.8985641614541665,0.16488501939930555
2019-09-02 13:00:00,CorePlus-S,0.9027711818337962,0.21764259947407405
2019-09-02 14:00:00,CorePlus-S,0.8987937853400463,0.2419219469583333
2019-09-02 15:00:00,CorePlus-S,0.8967973118958332,0.26659319664861114
2019-09-02 16:00:00,CorePlus-S,0.9011611357562501,0.16465513795416664
2019-09-02 17:00:00,CorePlus-S,0.8965686034868057,0.2247528296530093
2019-09-02 18:00:00,CorePlus-S,0.9002824365182869,0.10908764111226853
2019-09-02 19:00:00,CorePlus-S,0.884448863152315,0.005283018057407407
2019-09-02 20:00:00,CorePlus-S,0.017345517742361115,0.005273015720833334
2019-09-02 21:00:00,CorePlus-S,0.017404030589583334,0.005274220147685185
2019-09-02 22:00:00,CorePlus-S,0.017410785326157408,0.005281893841898149
2019-09-02 23:00:00,CorePlus-S,0.01744027244861111,0.005284235213657409
2019-09-03 00:00:00,CorePlus-S,0.017446080167824077,0.005283637838657406
2019-09-03 01:00:00,CorePlus-S,0.017467729744675926,0.005290275553472223
2019-09-03 02:00:00,CorePlus-S,0.017547675205787035,0.005287571993981482
2019-09-03 03:00:00,CorePlus-S,0.01753558083865741,0.005292290571064814
2019-09-03 04:00:00,CorePlus-S,0.017578578437268517,0.005291510568055555
2019-09-03 05:00:00,CorePlus-S,0.028963090916666667,0.005298926877777777
2019-09-03 06:00:00,CorePlus-S,0.9002854786884258,0.005300427668055555
2019-09-03 07:00:00,CorePlus-S,0.897509153382176,0.02699550957060185
2019-09-03 08:00:00,CorePlus-S,0.8981856582111113,0.12191397909884259
2019-09-03 09:00:00,CorePlus-S,0.899208550932176,0.25606531556527773
2019-09-03 10:00:00,CorePlus-S,0.90044841166875,0.21587005687430555
2019-09-03 11:00:00,CorePlus-S,0.896851312225926,0.13468381756944445
2019-09-03 12:00:00,CorePlus-S,0.8987523679006945,0.16678769172592595
2019-09-03 13:00:00,CorePlus-S,0.9030751455266205,0.2190588155476852
2019-09-03 14:00:00,CorePlus-S,0.8982804558722222,0.24389910672175927
2019-09-03 15:00:00,CorePlus-S,0.8983969314303241,0.2688052462900463
2019-09-03 16:00:00,CorePlus-S,0.8989855473157408,0.16573297713009258
2019-09-03 17:00:00,CorePlus-S,0.8975450599099537,0.22865215437708333
2019-09-03 18:00:00,CorePlus-S,0.9012088351305556,0.10926020585879631
2019-09-03 19:00:00,CorePlus-S,0.8834708071166667,0.005285952627546297
2019-09-03 20:00:00,CorePlus-S,0.017349646090046297,0.005279449481712963
2019-09-03 21:00:00,CorePlus-S,0.017345377988194445,0.005280367212731481
2019-09-03 22:00:00,CorePlus-S,0.017440039653703703,0.005287355433101852
2019-09-03 23:00:00,CorePlus-S,0.017477530693055555,0.005282735176851852
2019-09-04 00:00:00,CorePlus-S,0.01744300039490741,0.0052870970460648144
2019-09-04 01:00:00,CorePlus-S,0.01743643494837963,0.005284754757407407
2019-09-04 02:00:00,CorePlus-S,0.01750063700925926,0.0052921937726851855
2019-09-04 03:00:00,CorePlus-S,0.017508909650694446,0.005290259824537038
2019-09-04 04:00:00,CorePlus-S,0.017438536688425925,0.005291298362731481
2019-09-04 05:00:00,CorePlus-S,0.02949931289745371,0.005293184478472223
2019-09-04 06:00:00,CorePlus-S,0.8965416000916666,0.005286583003009259
2019-09-04 07:00:00,CorePlus-S,0.8953602254002314,0.027005437475925924
2019-09-04 08:00:00,CorePlus-S,0.8980597186009258,0.12522576042569444
2019-09-04 09:00:00,CorePlus-S,0.8984531711104167,0.2906160508296296
2019-09-04 10:00:00,CorePlus-S,0.9016508940715279,0.2250030863986111
2019-09-04 11:00:00,CorePlus-S,0.8968575079824074,0.15059002858587964
2019-09-04 12:00:00,CorePlus-S,0.8983348341456018,0.1626172514212963
2019-09-04 13:00:00,CorePlus-S,0.9019068327043982,0.2123027516141204
2019-09-04 14:00:00,CorePlus-S,0.8985592671127314,0.23642779956944449
2019-09-04 15:00:00,CorePlus-S,0.8990970956502315,0.26484618983125
2019-09-04 16:00:00,CorePlus-S,0.9016858994724537,0.2264443007319445
2019-09-04 17:00:00,CorePlus-S,0.8972394148953703,0.24072834455902778
2019-09-04 18:00:00,CorePlus-S,0.9006451804078704,0.14469679848703706
2019-09-04 19:00:00,CorePlus-S,0.8842519249046296,0.0052863026192129636
2019-09-04 20:00:00,CorePlus-S,0.017354356101851855,0.005282996066203705
2019-09-04 21:00:00,CorePlus-S,0.017402872295601855,0.0052812237331018525
2019-09-04 22:00:00,CorePlus-S,0.017429065390740742,0.005282952446527778
2019-09-04 23:00:00,CorePlus-S,0.01732139263263889,0.005276278093518519
2019-09-05 00:00:00,CorePlus-S,0.01729348759375,0.005284762712962963
2019-09-05 01:00:00,CorePlus-S,0.01734997137847222,0.005278715404629629
2019-09-05 02:00:00,CorePlus-S,0.01733816517106481,0.0052901458388888885
2019-09-05 03:00:00,CorePlus-S,0.017434574832175927,0.005292153609953705
2019-09-05 04:00:00,CorePlus-S,0.01740302044097222,0.0052900658666666656
2019-09-05 05:00:00,CorePlus-S,0.029855183905092595,0.00529382665925926
2019-09-05 06:00:00,CorePlus-S,0.8986928500046297,0.0052895543840277785
2019-09-05 07:00:00,CorePlus-S,0.8949856002689816,0.02506026845787037
2019-09-05 08:00:00,CorePlus-S,0.894563695807639,0.17384306552916667
2019-09-05 09:00:00,CorePlus-S,0.9013036852692129,0.2868888261819444
2019-09-05 10:00:00,CorePlus-S,0.9024069584645832,0.19637271942962967
2019-09-05 11:00:00,CorePlus-S,0.8991045389652776,0.15733124956458336
2019-09-05 12:00:00,CorePlus-S,0.8996339193615742,0.14236104866759255
2019-09-05 13:00:00,CorePlus-S,0.9015577955594908,0.1932138451412037
2019-09-05 14:00:00,CorePlus-S,0.8984944377499999,0.24816021161527774
2019-09-05 15:00:00,CorePlus-S,0.8988438512696759,0.2753287416648148
2019-09-05 16:00:00,CorePlus-S,0.9002950522131946,0.17833807350277775
2019-09-05 17:00:00,CorePlus-S,0.8975828431858796,0.25166567790046296
2019-09-05 18:00:00,CorePlus-S,0.9018971393196759,0.14791009518125
2019-09-05 19:00:00,CorePlus-S,0.884152160038889,0.0052857968375
2019-09-05 20:00:00,CorePlus-S,0.017283766336574073,0.005279180626851852
2019-09-05 21:00:00,CorePlus-S,0.017258157648842594,0.005279946438425926
2019-09-05 22:00:00,CorePlus-S,0.017339490230787038,0.00528903854699074
2019-09-05 23:00:00,CorePlus-S,0.017408935429398146,0.005280635822222221
2019-09-06 00:00:00,CorePlus-S,,
2019-09-06 01:00:00,CorePlus-S,,
2019-09-06 02:00:00,CorePlus-S,,
2019-09-06 03:00:00,CorePlus-S,,
2019-09-06 04:00:00,CorePlus-S,,
2019-09-06 05:00:00,CorePlus-S,,
2019-09-06 06:00:00,CorePlus-S,,
2019-09-06 07:00:00,CorePlus-S,,
2019-09-06 08:00:00,CorePlus-S,,
2019-09-06 09:00:00,CorePlus-S,,
2019-09-06 10:00:00,CorePlus-S,,
2019-09-06 11:00:00,CorePlus-S,,
2019-09-06 12:00:00,CorePlus-S,0.8988248776837965,0.14776646763703705
2019-09-06 13:00:00,CorePlus-S,0.9027276865865741,0.19691230901388887
2019-09-06 14:00:00,CorePlus-S,0.8995369399803242,0.24486790154930557
2019-09-06 15:00:00,CorePlus-S,0.897707833675,0.26913376683842594
